full_name;sex;birth_year;city;country;continent;occupation;industry;domain;article_languages;page_views;average_views;historical_popularity_index
Pliny the Elder;Male;23;Como;Italy;Europe;Philosopher;Philosophy;Humanities;61;4448919;72933;277.997
Peter I of Russia;Male;1672;Moscow;Russia;Europe;Politician;Government;Institutions;98;10556706;107721;277.934
Bob Dylan;Male;1941;Duluth;United States;North America;Musician;Music;Arts;88;33728144;383274;277.877
Antoninus Pius;Male;86;Lanuvium;Italy;Europe;Politician;Government;Institutions;63;2326411;36927;277.767
Arthur Schopenhauer;Male;1788;Gdańsk;Poland;Europe;Philosopher;Philosophy;Humanities;79;11622780;147124;27.776
Francisco Franco;Male;1892;Ferrol;Spain;Europe;Politician;Government;Institutions;82;16767124;204477;277.709
Charlie Chaplin;Male;1889;Walworth;United Kingdom;Europe;Actor;Film And Theatre;Arts;145;38615107;266311;277.704
Josephus;Male;37;Jerusalem;Israel;Asia;Historian;History;Humanities;55;3916394;71207;277.691
Hermann Hesse;Male;1877;Calw;Germany;Europe;Writer;Language;Humanities;83;9414681;113430;277.653
Caracalla;Male;188;Lugdunum;France;Europe;Politician;Government;Institutions;60;2926569;48776;277.607
Friedrich Engels;Male;1820;Wuppertal;Germany;Europe;Philosopher;Philosophy;Humanities;91;7678629;84381;277.439
Saint Andrew;Male;1;Bethsaida;Israel;Asia;Religious Figure;Religion;Institutions;68;2732393;40182;277.439
Rembrandt;Male;1606;Leiden;Netherlands;Europe;Painter;Fine Arts;Arts;125;20985901;167887;277.433
William Wallace;Male;1270;Elderslie;United Kingdom;Europe;Military Personnel;Military;Institutions;61;15650413;256564;277.419
Marcus Vitruvius Pollio;Male;-80;Other;Unknown;;Architect;Design;Arts;53;3436829;64846;277.414
Paul Gauguin;Male;1848;Paris;France;Europe;Painter;Fine Arts;Arts;82;10352765;126253;277.335
Vercingetorix;Male;-82;Other;Unknown;Unknown;Military Personnel;Military;Institutions;45;3578372;79519;277.226
Saint George;Male;280;Lydda;Israel;Asia;Religious Figure;Religion;Institutions;65;9595520;147623;277.198
Heinrich Himmler;Male;1900;Munich;Germany;Europe;Politician;Government;Institutions;70;17558545;250836;277.085
Pindar;Male;-522;Boeotia;Greece;Europe;Writer;Language;Humanities;55;2118829;38524;277.061
Louis XVI of France;Male;1754;Paris;France;Europe;Politician;Government;Institutions;74;14510221;196084;276.928
Johannes Brahms;Male;1833;Hamburg;Germany;Europe;Composer;Music;Arts;103;8261948;80213;276.843
Saint James the Great;Male;1;Bethsaida;Israel;Asia;Religious Figure;Religion;Institutions;66;2597285;39353;276.646
John F. Kennedy;Male;1917;Boston;United States;North America;Politician;Government;Institutions;116;57596834;496524;276.634
George Orwell;Male;1903;Motihari;India;Asia;Writer;Language;Humanities;101;16450860;162880;276.602
Mustafa Kemal Atatürk;Male;1881;Thessaloniki;Greece;Europe;Politician;Government;Institutions;166;19455613;117202;276.575
Charles Martel;Male;686;Herstal;Belgium;Europe;Military Personnel;Military;Institutions;55;4644891;84453;276.544
Thomas Mann;Male;1875;Lübeck;Germany;Europe;Writer;Language;Humanities;84;8182174;97407;276.522
Diogenes Laertius;Male;-3500;Other;Unknown;Unknown;Writer;Language;Humanities;41;1103296;26910;276.511
Marcus Vipsanius Agrippa;Male;-63;Other;Italy;Europe;Military Personnel;Military;Institutions;47;2314450;49244;276.504
Pyrrhus of Epirus;Male;-319;Epirus;Greece;Europe;Military Personnel;Military;Institutions;47;2524397;53711;276.504
Omar Khayyám;Male;1048;Nishapur;Iran;Asia;Mathematician;Math;Science & Technology;86;6419560;74646;27.647
Alfred Nobel;Male;1833;Stockholm;Sweden;Europe;Chemist;Natural Sciences;Science & Technology;109;11998627;110079;276.462
Queen of Sheba;Female;-1000;Marib;Yemen;Asia;Politician;Government;Institutions;52;6021924;115806;276.447
Marcus Junius Brutus;Male;-85;Rome;Italy;Europe;Politician;Government;Institutions;48;3956257;82422;276.433
Donatien Alphonse François de Sade, Marquis de Sade;Male;1740;Paris;France;Europe;Writer;Language;Humanities;59;10976135;186036;276.335
Romulus Augustus;Male;460;Other;Unknown;;Religious Figure;Religion;Institutions;57;2399613;42098;276.315
Demosthenes;Male;-384;Athens;Greece;Europe;Politician;Government;Institutions;51;3024081;59296;27.626
James Joyce;Male;1882;Rathgar;Ireland;Europe;Writer;Language;Humanities;114;11006755;96550;276.173
Francis Bacon;Male;1561;London;United Kingdom;Europe;Philosopher;Philosophy;Humanities;82;10858412;132420;27.616
Johann Christoph Friedrich von Schiller;Male;1759;Weimar;Germany;Europe;Writer;Language;Humanities;76;8299693;109206;276.099
Fidel Castro;Male;1926;Birán;Cuba;North America;Politician;Government;Institutions;115;28679945;249391;276.097
Mark Twain;Male;1835;Florida;United States;North America;Writer;Language;Humanities;106;20607309;194409;276.084
Joseph Goebbels;Male;1897;Rheydt;Germany;Europe;Politician;Government;Institutions;71;16667883;234759;276.044
Marie Curie;Female;1867;Warsaw;Poland;Europe;Chemist;Natural Sciences;Science & Technology;130;30874600;237497;27.603
Aaron;Male;-1400;Other;Egypt;Africa;Religious Figure;Religion;Institutions;59;2819250;47784;276.021
Richard I of England;Male;1157;Oxford;United Kingdom;Europe;Politician;Government;Institutions;70;12433331;177619;276.012
Lucius Cornelius Sulla;Male;-138;Roman Italy;Italy;Europe;Politician;Government;Institutions;49;3066374;62579;275.988
Bertolt Brecht;Male;1898;Augsburg;Germany;Europe;Writer;Language;Humanities;77;12712391;165096;275.862
Pontius Pilate;Male;1;Abruzzo;Italy;Europe;Politician;Government;Institutions;54;7359680;136290;275.753
